Fecha,Hora,Día,Mes,Temperatura (°C),Watermark Comercial,Watermark Uni,Riego,,,,,,,,
01/01/2025,00:00,Miércoles,Enero 2025,20.1,33.86,31.5,0,,,,,,,,
01/01/2025,01:00,Miércoles,Enero 2025,20,34.5,31.93,0,,,,,,,,
01/01/2025,02:00,Miércoles,Enero 2025,21.4,34.89,32.28,0,,,,,,,,
01/01/2025,03:00,Miércoles,Enero 2025,21.7,35.33,32.66,0,,,,,,,,
01/01/2025,04:00,Miércoles,Enero 2025,23.3,35.76,33.09,0,,,,,,,,
01/01/2025,05:00,Miércoles,Enero 2025,25.6,36.19,33.49,0,,,,,,,,
01/01/2025,06:00,Miércoles,Enero 2025,27.8,36.51,33.97,0,,,,,,,,
01/01/2025,07:00,Miércoles,Enero 2025,29.6,37.03,34.23,0,,,,,,,,
01/01/2025,08:00,Miércoles,Enero 2025,31.7,37.52,34.46,0,,,,,,,,
01/01/2025,09:00,Miércoles,Enero 2025,32.4,38.21,34.87,0,,,,,,,,
01/01/2025,10:00,Miércoles,Enero 2025,34.3,38.85,35.26,0,,,,,,,,
01/01/2025,11:00,Miércoles,Enero 2025,35,39.02,35.39,1,,,,,,,,
01/01/2025,12:00,Miércoles,Enero 2025,35,37.96,34.8,0,,,,,,,,
01/01/2025,13:00,Miércoles,Enero 2025,34.8,36.95,33.63,0,,,,,,,,
01/01/2025,14:00,Miércoles,Enero 2025,33.7,35.65,32.48,0,,,,,,,,
01/01/2025,15:00,Miércoles,Enero 2025,32.5,35.99,32.77,0,,,,,,,,
01/01/2025,16:00,Miércoles,Enero 2025,31.4,36.44,33.08,0,,,,,,,,
01/01/2025,17:00,Miércoles,Enero 2025,29.2,36.85,33.56,0,,,,,,,,
01/01/2025,18:00,Miércoles,Enero 2025,27.6,37.07,33.63,1,,,,,,,,
01/01/2025,19:00,Miércoles,Enero 2025,25.8,36.25,33.09,0,,,,,,,,
01/01/2025,20:00,Miércoles,Enero 2025,24.2,35.67,32.61,0,,,,,,,,
01/01/2025,21:00,Miércoles,Enero 2025,22.4,35.19,32.22,0,,,,,,,,
01/01/2025,22:00,Miércoles,Enero 2025,20.7,34.31,31.65,0,,,,,,,,
01/01/2025,23:00,Miércoles,Enero 2025,20,33.51,31.32,0,,,,,,,,
02/01/2025,00:00,Jueves,Enero 2025,20.4,33.99,31.75,0,,,,,,,,
02/01/2025,01:00,Jueves,Enero 2025,20.2,34.7,32.11,0,,,,,,,,
02/01/2025,02:00,Jueves,Enero 2025,20.8,35.15,32.51,0,,,,,,,,
02/01/2025,03:00,Jueves,Enero 2025,22,35.74,33.02,0,,,,,,,,
02/01/2025,04:00,Jueves,Enero 2025,23.6,36.17,33.57,0,,,,,,,,
02/01/2025,05:00,Jueves,Enero 2025,25.6,36.56,33.79,0,,,,,,,,
02/01/2025,06:00,Jueves,Enero 2025,27.1,37.16,34.27,0,,,,,,,,
